circuit,value,gi,gj,dgi,dgj,Ki,Kj,mt,dt,Dt,ui,uj,dG,ki,kj,qi,qj
Het_on,par,1.01E+00,4.34E-03,6.78E+00,1.17E+00,7.33E+00,9.48E+00,1.07E+00,1.12E-01,1.06E+01,1.06E+00,1.39E+00,7.78E-03,1.07E+00,3.47E+00,7.55E-01,2.97E-01
,std,6.46E-11,6.22E-09,6.03E-11,1.44E-09,3.11E-10,3.37E-07,3.85E-10,2.15E-07,3.05E-07,3.26E-10,1.18E-09,4.11E-04,3.83E-10,4.84E-10,8.89E-10,2.05E-08
Het_off,par,1.18E+00,6.44E+00,6.42E+00,1.19E+00,9.36E+00,1.60E+01,1.08E+00,1.14E+00,1.66E+01,1.09E+00,2.03E+00,5.48E-03,1.07E+00,7.01E+00,8.50E+00,7.01E+00
,std,1.01E+07,6.26E+06,1.85E+06,9.98E+06,1.03E-03,2.53E+06,1.10E+07,1.04E+07,1.25E+00,3.71E+07,3.29E-03,3.56E+03,6.84E-03,1.13E-03,8.19E-04,9.23E-04
Hom_on,par,1.02E+00,7.00E-01,1.03E+01,4.72E+00,5.02E+00,1.75E+01,2.49E-01,2.49E-01,1.80E+01,1.10E+00,9.58E-01,5.99E-03,1.12E+00,6.54E-01,9.86E-01,3.16E-01
,std,8.31E+00,1.34E+07,8.71E+05,2.84E+06,1.79E+06,7.70E+05,8.96E+06,1.04E+03,7.49E+05,8.18E+06,1.34E+07,1.17E+03,1.20E+07,1.34E+07,8.96E+06,8.96E+06
Hom_off,par,1.98E+00,2.63E+00,6.90E+00,1.46E+00,1.78E+00,2.06E+01,2.85E+01,1.08E+01,2.07E+01,1.69E+00,6.72E+00,2.02E-03,6.05E-02,6.76E+00,2.53E+00,6.93E+00
,std,1.70E+07,1.28E+07,6.25E-06,2.31E+07,2.53E-06,1.63E+06,4.78E-07,3.12E+06,1.63E+06,2.45E-05,8.58E-06,1.18E+02,6.08E-04,4.98E+06,1.33E+07,6.17E-04
Het_on_2,par,9.84E-01,9.56E-01,9.21E-01,1.64E+00,1.78E+00,2.47E+01,1.19E+00,1.66E-01,3.95E+00,9.60E-01,6.62E-01,7.09E-03,1.30E+00,6.33E-01,4.65E-01,7.71E-01
,std,9.56E-11,3.93E-10,6.21E-10,2.91E-09,1.69E-09,1.13E-07,5.20E-10,2.96E-07,7.17E-07,4.98E-10,6.67E-09,3.95E-04,4.42E-10,7.57E-09,8.28E-08,2.88E-08
Het_off_2,par,6.61E+00,2.26E+00,9.02E-01,7.71E+00,3.43E-01,1.65E+01,3.99E+00,1.50E+00,1.71E+01,7.82E+00,6.61E-01,5.26E-03,7.75E+00,1.11E+00,9.44E-01,3.57E+00
,std,5.34E+06,5.65E-01,1.92E+07,2.40E+00,2.74E+02,6.13E+03,4.82E+06,1.51E+03,6.03E+03,5.31E+00,3.53E+07,2.42E+03,6.16E+00,1.66E+01,1.92E+07,6.27E+02
Hom_on_2,par,1.12E+00,1.27E+00,9.19E+00,6.22E-03,1.90E+00,1.73E+01,6.73E-01,7.36E-01,1.73E+01,1.08E+00,8.00E-01,4.72E-03,1.14E+00,7.81E-01,9.21E-01,6.72E-01
,std,7.93E+06,7.89E+06,1.96E-06,8.88E+06,4.67E+06,5.78E+05,8.88E+06,1.18E-02,1.32E-01,9.30E+06,8.88E+06,4.64E+02,1.56E-05,1.00E+07,8.26E-06,1.00E+07
Hom_off_2,par,9.78E-01,1.28E+00,1.28E+00,1.48E+00,2.21E+00,2.05E+01,2.94E-01,6.55E-01,2.07E+01,1.23E+00,7.78E-01,3.53E-03,1.02E+00,9.05E-01,9.91E-01,6.12E-01
,std,3.74E+00,1.15E+00,2.51E+01,1.22E+07,3.03E+01,8.80E+05,2.35E+03,1.80E+07,8.74E+05,2.30E+01,2.76E+01,1.14E+02,3.14E+01,2.53E+01,1.80E+07,5.58E+01
